assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material
GCF_001989075.1,PRJNA224116,SAMN04383583,,na,520,520,Bordetella pertussis,strain=J122,,latest,Complete Genome,Major,Full,42772,ASM198907v1,Centers for Disease Control and Prevention,GCA_001989075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/075/GCF_001989075.1_ASM198907v1,,
GCF_001989095.1,PRJNA224116,SAMN04383584,,na,520,520,Bordetella pertussis,strain=J124,,latest,Complete Genome,Major,Full,42772,ASM198909v1,Centers for Disease Control and Prevention,GCA_001989095.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/095/GCF_001989095.1_ASM198909v1,,
GCF_001989115.1,PRJNA224116,SAMN04383585,,na,520,520,Bordetella pertussis,strain=J149,,latest,Complete Genome,Major,Full,42772,ASM198911v1,Centers for Disease Control and Prevention,GCA_001989115.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/115/GCF_001989115.1_ASM198911v1,,
GCF_001989135.1,PRJNA224116,SAMN04383587,,na,520,520,Bordetella pertussis,strain=J155,,latest,Complete Genome,Major,Full,42772,ASM198913v1,Centers for Disease Control and Prevention,GCA_001989135.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/135/GCF_001989135.1_ASM198913v1,,
GCF_001989155.1,PRJNA224116,SAMN04383588,,na,520,520,Bordetella pertussis,strain=J159,,latest,Complete Genome,Major,Full,42772,ASM198915v1,Centers for Disease Control and Prevention,GCA_001989155.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/155/GCF_001989155.1_ASM198915v1,,
GCF_001989175.1,PRJNA224116,SAMN04383589,,na,520,520,Bordetella pertussis,strain=J161,,latest,Complete Genome,Major,Full,42772,ASM198917v1,Centers for Disease Control and Prevention,GCA_001989175.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/175/GCF_001989175.1_ASM198917v1,,
GCF_001989195.1,PRJNA224116,SAMN04383590,,na,520,520,Bordetella pertussis,strain=J162,,latest,Complete Genome,Major,Full,42772,ASM198919v1,Centers for Disease Control and Prevention,GCA_001989195.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/195/GCF_001989195.1_ASM198919v1,,
GCF_001989215.1,PRJNA224116,SAMN04383591,,na,520,520,Bordetella pertussis,strain=J174,,latest,Complete Genome,Major,Full,42772,ASM198921v1,Centers for Disease Control and Prevention,GCA_001989215.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/215/GCF_001989215.1_ASM198921v1,,
GCF_001989235.1,PRJNA224116,SAMN04383593,,na,520,520,Bordetella pertussis,strain=J198,,latest,Complete Genome,Major,Full,42772,ASM198923v1,Centers for Disease Control and Prevention,GCA_001989235.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/235/GCF_001989235.1_ASM198923v1,,
GCF_001989255.1,PRJNA224116,SAMN04383594,,na,520,520,Bordetella pertussis,strain=J206,,latest,Complete Genome,Major,Full,42772,ASM198925v1,Centers for Disease Control and Prevention,GCA_001989255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/255/GCF_001989255.1_ASM198925v1,,
GCF_001989275.1,PRJNA224116,SAMN04383595,,na,520,520,Bordetella pertussis,strain=J208,,latest,Complete Genome,Major,Full,42772,ASM198927v1,Centers for Disease Control and Prevention,GCA_001989275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/275/GCF_001989275.1_ASM198927v1,,
GCF_001989295.1,PRJNA224116,SAMN04383596,,na,520,520,Bordetella pertussis,strain=J210,,latest,Complete Genome,Major,Full,42772,ASM198929v1,Centers for Disease Control and Prevention,GCA_001989295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/295/GCF_001989295.1_ASM198929v1,,
GCF_001989315.1,PRJNA224116,SAMN04383598,,na,520,520,Bordetella pertussis,strain=J277,,latest,Complete Genome,Major,Full,42772,ASM198931v1,Centers for Disease Control and Prevention,GCA_001989315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/315/GCF_001989315.1_ASM198931v1,,
GCF_001989335.1,PRJNA224116,SAMN04388406,,na,520,520,Bordetella pertussis,strain=J096,,latest,Complete Genome,Major,Full,42772,ASM198933v1,Centers for Disease Control and Prevention,GCA_001989335.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/989/335/GCF_001989335.1_ASM198933v1,,
GCF_002018515.1,PRJNA224116,SAMN04383580,,na,520,520,Bordetella pertussis,strain=J105,,latest,Complete Genome,Major,Full,42772,ASM201851v1,Centers for Disease Control and Prevention,GCA_002018515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/018/515/GCF_002018515.1_ASM201851v1,,
GCF_002021795.1,PRJNA224116,SAMN06434363,,na,520,520,Bordetella pertussis,strain=Pelita III,,latest,Complete Genome,Major,Full,42800,ASM202179v1,Virginia Tech,GCA_002021795.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/021/795/GCF_002021795.1_ASM202179v1,,
GCF_002068675.1,PRJNA224116,SAMN04383586,,na,520,520,Bordetella pertussis,strain=J152,,latest,Complete Genome,Major,Full,42772,ASM206867v1,Centers for Disease Control and Prevention,GCA_002068675.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/068/675/GCF_002068675.1_ASM206867v1,,
GCF_002068975.1,PRJNA224116,SAMN04383592,,na,520,520,Bordetella pertussis,strain=J175,,latest,Complete Genome,Major,Full,42772,ASM206897v1,Centers for Disease Control and Prevention,GCA_002068975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/068/975/GCF_002068975.1_ASM206897v1,,
GCF_002069155.1,PRJNA224116,SAMN04383597,,na,520,520,Bordetella pertussis,strain=J276,,latest,Complete Genome,Major,Full,42772,ASM206915v1,Centers for Disease Control and Prevention,GCA_002069155.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/069/155/GCF_002069155.1_ASM206915v1,,
GCF_002240435.1,PRJNA224116,SAMN07137592,,na,520,520,Bordetella pertussis,strain=J078,,latest,Complete Genome,Major,Full,42950,ASM224043v1,Centers for Disease Control and Prevention,GCA_002240435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/435/GCF_002240435.1_ASM224043v1,,
GCF_002240475.1,PRJNA224116,SAMN07137591,,na,520,520,Bordetella pertussis,strain=H696,,latest,Complete Genome,Major,Full,42950,ASM224047v1,Centers for Disease Control and Prevention,GCA_002240475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/475/GCF_002240475.1_ASM224047v1,,
GCF_002240495.1,PRJNA224116,SAMN07137593,,na,520,520,Bordetella pertussis,strain=J473,,latest,Complete Genome,Major,Full,42950,ASM224049v1,Centers for Disease Control and Prevention,GCA_002240495.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/495/GCF_002240495.1_ASM224049v1,,
GCF_002240515.1,PRJNA224116,SAMN07327524,,na,520,520,Bordetella pertussis,strain=J625,,latest,Complete Genome,Major,Full,42950,ASM224051v1,Centers for Disease Control and Prevention,GCA_002240515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/240/515/GCF_002240515.1_ASM224051v1,,
GCF_000070465.1,PRJNA224116,SAMEA1705952,,representative genome,360910,521,Bordetella avium 197N,strain=197N,,latest,Complete Genome,Major,Full,38989,ASM7046v1,Sanger Institute,GCA_000070465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/070/465/GCF_000070465.1_ASM7046v1,,assembly from proxytype material
GCF_000016725.1,PRJNA224116,SAMN02598339,,na,349163,524,Acidiphilium cryptum JF-5,strain=JF-5,,latest,Complete Genome,Major,Full,39213,ASM1672v1,US DOE Joint Genome Institute,GCA_000016725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/725/GCF_000016725.1_ASM1672v1,,
GCF_000017405.1,PRJNA224116,SAMN02598421,,representative genome,439375,529,Ochrobactrum anthropi ATCC 49188,strain=ATCC 49188,,latest,Complete Genome,Major,Full,39275,ASM1740v1,US DOE Joint Genome Institute,GCA_000017405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/405/GCF_000017405.1_ASM1740v1,,assembly from type material
GCF_000742955.1,PRJNA224116,SAMN02873951,,na,529,529,Ochrobactrum anthropi,strain=OAB,,latest,Complete Genome,Major,Full,41872,ASM74295v1,Los Alamos National Laboratory,GCA_000742955.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/742/955/GCF_000742955.1_ASM74295v1,,
GCF_000019845.1,PRJNA224116,SAMN02598441,,representative genome,395963,533,Beijerinckia indica subsp. indica ATCC 9039,strain=ATCC 9039,,latest,Complete Genome,Major,Full,39549,ASM1984v1,US DOE Joint Genome Institute,GCA_000019845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/845/GCF_000019845.1_ASM1984v1,,assembly from type material
GCF_000007705.1,PRJNA224116,SAMN02603528,,representative genome,243365,536,Chromobacterium violaceum ATCC 12472,strain=ATCC 12472,,latest,Complete Genome,Major,Full,37855,ASM770v1,"LNCC, Brazil",GCA_000007705.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/705/GCF_000007705.1_ASM770v1,,assembly from type material
GCF_000007105.1,PRJNA224116,SAMN02603579,,na,264203,542,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,strain=ZM4,,latest,Complete Genome,Major,Full,40190,ASM710v1,Macrogen Inc.,GCA_000007105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/105/GCF_000007105.1_ASM710v1,,
GCF_000024245.1,PRJNA224116,SAMN00113486,,na,622759,542,Zymomonas mobilis subsp. mobilis NCIMB 11163,strain=NCIMB 11163,,latest,Complete Genome,Major,Full,40071,ASM2424v1,US DOE Joint Genome Institute,GCA_000024245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/245/GCF_000024245.1_ASM2424v1,,
GCF_000175255.2,PRJNA224116,SAMN02232066,,representative genome,555217,542,Zymomonas mobilis subsp. mobilis ATCC 10988,strain=ATCC 10988,,latest,Complete Genome,Major,Full,40707,ASM17525v2,US DOE Joint Genome Institute (JGI-PGF),GCA_000175255.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/255/GCF_000175255.2_ASM17525v2,,assembly from type material
GCF_000218875.1,PRJNA224116,SAMN02232067,,representative genome,579138,542,Zymomonas mobilis subsp. pomaceae ATCC 29192,strain=ATCC 29192,,latest,Complete Genome,Major,Full,40711,ASM21887v1,US DOE Joint Genome Institute,GCA_000218875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/218/875/GCF_000218875.1_ASM21887v1,,assembly from type material
GCF_000277755.1,PRJNA224116,SAMN02261358,,na,627344,542,Zymomonas mobilis subsp. mobilis ATCC 29191,strain=ATCC 29191,,latest,Complete Genome,Major,Full,41103,ASM27775v1,JGI,GCA_000277755.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/277/755/GCF_000277755.1_ASM27775v1,,
GCF_000498655.1,PRJNA224116,SAMN00262712,,na,627343,542,Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023,strain=CP4 = NRRL B-14023,,latest,Complete Genome,Major,Full,41603,ASM49865v1,JGI,GCA_000498655.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/498/655/GCF_000498655.1_ASM49865v1,,
GCF_000576125.1,PRJNA224116,SAMN03081439,,na,1194424,542,Zymomonas mobilis subsp. mobilis NRRL B-12526,strain=NRRL B-12526,,latest,Complete Genome,Major,Full,41690,ASM57612v1,"Key Laboratory of Resource Biology and Eco-environment of Ministry of Education, Sichuan Key Laboratory of Molecular Biology and Biotechnology",GCA_000576125.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/576/125/GCF_000576125.1_ASM57612v1,,
GCF_000576165.1,PRJNA224116,SAMN03081440,,na,627343,542,Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023,strain=CP4 = NRRL B-14023,,latest,Complete Genome,Major,Full,41690,ASM57616v1,"Key Laboratory of Resource Biology and Eco-environment of Ministry of Education, Sichuan Key Laboratory of Molecular Biology and Biotechnology",GCA_000576165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/576/165/GCF_000576165.1_ASM57616v1,,
GCF_002158845.1,PRJNA224116,SAMN06830565,,na,120045,542,Zymomonas mobilis subsp. mobilis,strain=NRRL B-1960,,latest,Complete Genome,Major,Full,42885,ASM215884v1,Clark University,GCA_002158845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/158/845/GCF_002158845.1_ASM215884v1,,
GCF_000018045.1,PRJNA224116,SAMN02603912,,na,290338,545,Citrobacter koseri ATCC BAA-895,strain=ATCC BAA-895,,latest,Complete Genome,Major,Full,39336,ASM1804v1,The Citrobacter koseri Genome Sequencing Project,GCA_000018045.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/045/GCF_000018045.1_ASM1804v1,,
GCF_000648515.1,PRJNA224116,SAMN02713684,,representative genome,1333848,546,Citrobacter freundii CFNIH1,strain=CFNIH1,,latest,Complete Genome,Major,Full,41757,ASM64851v1,NISC,GCA_000648515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/515/GCF_000648515.1_ASM64851v1,,
GCF_001022155.1,PRJNA224116,SAMN03733741,,na,546,546,Citrobacter freundii,strain=CAV1321,,latest,Complete Genome,Major,Full,42164,ASM102215v1,University of Oxford,GCA_001022155.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/155/GCF_001022155.1_ASM102215v1,,
GCF_001022275.1,PRJNA224116,SAMN03733754,,na,546,546,Citrobacter freundii,strain=CAV1741,,latest,Complete Genome,Major,Full,42164,ASM102227v1,University of Oxford,GCA_001022275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/275/GCF_001022275.1_ASM102227v1,,
GCF_001281005.1,PRJNA224116,SAMN03996567,,na,546,546,Citrobacter freundii,strain=P10159,,latest,Complete Genome,Major,Full,42258,ASM128100v1,Beijing Institute of Microbiology and Epidemiology,GCA_001281005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/005/GCF_001281005.1_ASM128100v1,,
GCF_001702455.1,PRJNA224116,SAMN05464624,,na,546,546,Citrobacter freundii,strain=B38,,latest,Complete Genome,Major,Full,42592,ASM170245v1,Universite Laval,GCA_001702455.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/702/455/GCF_001702455.1_ASM170245v1,,
GCF_001718055.1,PRJNA224116,SAMN05570461,,na,546,546,Citrobacter freundii,strain=SL151,,latest,Complete Genome,Major,Full,42615,ASM171805v1,Naval Research Laboratory,GCA_001718055.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/055/GCF_001718055.1_ASM171805v1,,
GCF_002211705.1,PRJNA224116,SAMN07260758,,na,546,546,Citrobacter freundii,strain=705SK3,,latest,Complete Genome,Major,Full,42916,ASM221170v1,University of Zurich,GCA_002211705.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/705/GCF_002211705.1_ASM221170v1,,
GCF_002215385.1,PRJNA224116,SAMN07280739,,na,546,546,Citrobacter freundii,strain=18-1,,latest,Complete Genome,Major,Full,42922,ASM221538v1,State Key Laboratory for Diagnosis and Treatment of Infectious Disease,GCA_002215385.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/215/385/GCF_002215385.1_ASM221538v1,,
GCF_000215745.1,PRJNA68103,SAMN02603581,,reference genome,1028307,548,Klebsiella aerogenes KCTC 2190,strain=KCTC 2190,,latest,Complete Genome,Major,Full,40697,ASM21574v1,Macrogen Inc.,GCA_000215745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/745/GCF_000215745.1_ASM21574v1,,assembly from type material
GCF_000334515.1,PRJNA224116,SAMEA3138432,,na,935296,548,Klebsiella aerogenes EA1509E,strain=EA1509E,,latest,Complete Genome,Major,Full,41299,ASM33451v1,UnitÌ© de Recherche sur les Maladies Infectieuses et Tropicales Emergents (URMITE),GCA_000334515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/334/515/GCF_000334515.1_ASM33451v1,,
GCF_001021995.1,PRJNA224116,SAMN03733745,,na,548,548,Klebsiella aerogenes,strain=CAV1320,,latest,Complete Genome,Major,Full,42164,ASM102199v1,University of Oxford,GCA_001021995.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/995/GCF_001021995.1_ASM102199v1,,
GCF_001559215.1,PRJNA224116,SAMN03996296,,na,548,548,Klebsiella aerogenes,strain=FDAARGOS_152,,latest,Complete Genome,Major,Full,42411,ASM155921v1,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,GCA_001559215.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/215/GCF_001559215.1_ASM155921v1,,
GCF_001571545.2,PRJNA224116,SAMN03448049,,na,548,548,Klebsiella aerogenes,strain=G7,G7,latest,Complete Genome,Major,Full,42440,ASM157154v2,IMI Translocation,GCA_001571545.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/571/545/GCF_001571545.2_ASM157154v2,,
GCF_001593585.1,PRJNA224116,SAMN03996283,,na,548,548,Klebsiella aerogenes,strain=FDAARGOS_139,,latest,Complete Genome,Major,Full,42446,ASM159358v1,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,GCA_001593585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/585/GCF_001593585.1_ASM159358v1,,
GCF_001558735.1,PRJNA224116,SAMN03996307,,na,549,549,Pantoea agglomerans,strain=FDAARGOS_160,,latest,Complete Genome,Major,Full,42411,ASM155873v1,University of Maryland School of Medicine Institute for Genome Sciences (IGS) - sequencing center,GCA_001558735.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/735/GCF_001558735.1_ASM155873v1,,
GCF_001709315.1,PRJNA224116,SAMN05444153,,representative genome,549,549,Pantoea agglomerans,strain=C410P1,,latest,Complete Genome,Major,Full,42601,ASM170931v1,Anhui University,GCA_001709315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/709/315/GCF_001709315.1_ASM170931v1,,
GCF_000025565.1,PRJNA48363,SAMN02603901,,reference genome,716541,550,Enterobacter cloacae subsp. cloacae ATCC 13047,strain=ATCC 13047,,latest,Complete Genome,Major,Full,40291,ASM2556v1,"TEDA School of Biological Sciences and Biotechnology, Nankai University",GCA_000025565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/565/GCF_000025565.1_ASM2556v1,,assembly from type material
GCF_000235765.1,PRJNA224116,SAMN02603521,,na,1104326,550,Enterobacter cloacae subsp. dissolvens SDM,strain=SDM,,latest,Complete Genome,Major,Full,41080,ASM23576v3,Shan Dong University,GCA_000235765.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/235/765/GCF_000235765.1_ASM23576v3,,assembly from proxytype material
GCF_000239975.1,PRJNA224116,SAMN02604307,,na,1045856,550,Enterobacter cloacae EcWSU1,strain=EcWSU1,,latest,Complete Genome,Major,Full,40900,ASM23997v1,Washington State University,GCA_000239975.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/975/GCF_000239975.1_ASM23997v1,,
GCF_000286275.1,PRJNA224116,SAMN02603959,,na,1211025,550,Enterobacter cloacae subsp. cloacae ENHKU01,strain=ENHKU01,,latest,Complete Genome,Major,Full,41131,ASM28627v1,The University of Hong Kong,GCA_000286275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/286/275/GCF_000286275.1_ASM28627v1,,
GCF_000512375.1,PRJNA224116,SAMN02641647,,na,1354030,550,Enterobacter cloacae P101,strain=P101,,latest,Complete Genome,Major,Full,41639,ASM51237v1,Washington State University,GCA_000512375.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/375/GCF_000512375.1_ASM51237v1,,
GCF_000724505.1,PRJNA224116,SAMN02713682,,na,1333850,550,Enterobacter cloacae ECNIH2,strain=ECNIH2,,latest,Complete Genome,Major,Full,41829,ASM72450v1,NISC,GCA_000724505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/724/505/GCF_000724505.1_ASM72450v1,,
GCF_000770155.1,PRJNA224116,SAMN03005138,,na,550,550,Enterobacter cloacae,strain=GGT036,,latest,Complete Genome,Major,Full,41943,ASM77015v1,Korea Institute of Science and Technology,GCA_000770155.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/770/155/GCF_000770155.1_ASM77015v1,,
GCF_000784865.1,PRJNA224116,SAMN02821150,,na,550,550,Enterobacter cloacae,strain=ECNIH4,,latest,Complete Genome,Major,Full,41960,ASM78486v1,NIH,GCA_000784865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/865/GCF_000784865.1_ASM78486v1,,
GCF_000784905.1,PRJNA224116,SAMN02821151,,na,550,550,Enterobacter cloacae,strain=ECNIH5,,latest,Complete Genome,Major,Full,41960,ASM78490v1,NIH,GCA_000784905.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/905/GCF_000784905.1_ASM78490v1,,
GCF_001022015.1,PRJNA224116,SAMN03733748,,na,550,550,Enterobacter cloacae,strain=CAV1311,,latest,Complete Genome,Major,Full,42164,ASM102201v1,University of Oxford,GCA_001022015.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/015/GCF_001022015.1_ASM102201v1,,
GCF_001022055.1,PRJNA224116,SAMN03733827,,na,550,550,Enterobacter cloacae,strain=CAV1668,,latest,Complete Genome,Major,Full,42164,ASM102205v1,University of Oxford,GCA_001022055.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/055/GCF_001022055.1_ASM102205v1,,
GCF_001022075.1,PRJNA224116,SAMN03733769,,na,550,550,Enterobacter cloacae,strain=CAV1411,,latest,Complete Genome,Major,Full,42164,ASM102207v1,University of Oxford,GCA_001022075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/075/GCF_001022075.1_ASM102207v1,,
GCF_001022255.1,PRJNA224116,SAMN03733830,,na,550,550,Enterobacter cloacae,strain=CAV1669,,latest,Complete Genome,Major,Full,42164,ASM102225v1,University of Oxford,GCA_001022255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/255/GCF_001022255.1_ASM102225v1,,
GCF_001029645.1,PRJNA224116,SAMN03743787,,na,550,550,Enterobacter cloacae,strain=UW5,,latest,Complete Genome,Major,Full,42174,ASM102964v1,University of New Brunswick,GCA_001029645.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/029/645/GCF_001029645.1_ASM102964v1,,
GCF_001922365.1,PRJNA224116,SAMN04014843,,na,550,550,Enterobacter cloacae,strain=AR_0002,,latest,Complete Genome,Major,Full,42731,ASM192236v1,Centers for Disease Control and Prevention,GCA_001922365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/922/365/GCF_001922365.1_ASM192236v1,,
GCF_002007805.1,PRJNA224116,SAMN06323809,,na,550,550,Enterobacter cloacae,strain=R11,,latest,Complete Genome,Major,Full,42794,ASM200780v1,Shandong Academy of Medical Sciences,GCA_002007805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/805/GCF_002007805.1_ASM200780v1,,
GCF_002025685.1,PRJNA224116,SAMN06130962,,na,550,550,Enterobacter cloacae,strain=AA4,,latest,Complete Genome,Major,Full,42807,ASM202568v1,Harvard University,GCA_002025685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/685/GCF_002025685.1_ASM202568v1,,
GCF_002055735.1,PRJNA224116,SAMN04014906,,na,550,550,Enterobacter cloacae,strain=AR_0065,,latest,Complete Genome,Major,Full,42815,ASM205573v1,Centers for Disease Control and Prevention,GCA_002055735.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/055/735/GCF_002055735.1_ASM205573v1,,
GCF_002192355.1,PRJNA224116,SAMN04015004,,na,550,550,Enterobacter cloacae,strain=AR_0163,,latest,Complete Genome,Major,Full,42899,ASM219235v1,Centers for Disease Control and Prevention,GCA_002192355.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/192/355/GCF_002192355.1_ASM219235v1,,
GCF_002192395.1,PRJNA224116,SAMN04014894,,na,550,550,Enterobacter cloacae,strain=AR_0053,,latest,Complete Genome,Major,Full,42899,ASM219239v1,Centers for Disease Control and Prevention,GCA_002192395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/192/395/GCF_002192395.1_ASM219239v1,,
GCF_002197345.1,PRJNA224116,SAMN07162522,,na,550,550,Enterobacter cloacae,strain=A1137,,latest,Complete Genome,Major,Full,42902,ASM219734v1,Beijing Institute of Microbiology and Epidemiology,GCA_002197345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/197/345/GCF_002197345.1_ASM219734v1,,
GCF_002201815.1,PRJNA224116,SAMN04014891,,na,550,550,Enterobacter cloacae,strain=AR_0050,,latest,Complete Genome,Major,Full,42906,ASM220181v1,Centers for Disease Control and Prevention,GCA_002201815.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/201/815/GCF_002201815.1_ASM220181v1,,
GCF_002204775.1,PRJNA224116,SAMN04014977,,na,550,550,Enterobacter cloacae,strain=AR_0136,,latest,Complete Genome,Major,Full,42906,ASM220477v1,Centers for Disease Control and Prevention,GCA_002204775.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/775/GCF_002204775.1_ASM220477v1,,
GCF_002211685.1,PRJNA224116,SAMN07260410,,na,550,550,Enterobacter cloacae,strain=704SK10,,latest,Complete Genome,Major,Full,42916,ASM221168v1,University of Zurich,GCA_002211685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/211/685/GCF_002211685.1_ASM221168v1,,
GCF_002237465.1,PRJNA224116,SAMN06765483,,na,550,550,Enterobacter cloacae,strain=MS7884A,,latest,Complete Genome,Major,Full,42947,ASM223746v1,University of Queensland,GCA_002237465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/237/465/GCF_002237465.1_ASM223746v1,,
